Date,MD,Home,Away,FTR,HomeG,AwayG,HmOd,DrOd,AwOd,Season,hHome,hAway,hScre,hRnd
2020-06-27 11:30:00,29,Fenerbahce,Yeni Malatyaspor,1,3,2,1.61,4.0,5.0,2019-2020,Yeni Malatyaspor,Fenerbahce,0-0,12
2020-06-26 14:00:00,29,Besiktas JK,Konyaspor,1,3,0,1.5,4.0,6.5,2019-2020,Konyaspor,Besiktas JK,0-1,12
2020-06-22 14:00:00,28,Alanyaspor,Trabzonspor,0,2,2,2.7,3.3,2.55,2019-2020,Trabzonspor,Alanyaspor,1-0,11
2020-06-22 14:00:00,28,Antalyaspor,Caykur Rizespor,1,3,1,2.4,3.3,2.87,2019-2020,Caykur Rizespor,Antalyaspor,1-0,11
2020-06-21 14:00:00,28,Galatasaray,Gazisehir Gaziantep,0,3,3,1.5,3.8,7.5,2019-2020,Gazisehir Gaziantep,Galatasaray,0-2,11
2020-06-21 14:00:00,28,Konyaspor,Sivasspor,0,2,2,3.2,3.3,2.25,2019-2020,Sivasspor,Konyaspor,2-0,11
2020-06-21 11:30:00,28,Kasimpasa,Fenerbahce,1,2,0,4.33,3.2,1.9,2019-2020,Fenerbahce,Kasimpasa,3-2,11
2020-06-20 14:00:00,28,Denizlispor,Besiktas JK,2,1,5,4.0,3.5,1.9,2019-2020,Besiktas JK,Denizlispor,1-0,11
2020-06-20 14:00:00,28,Yeni Malatyaspor,Goztepe,1,2,1,2.4,3.3,2.87,2019-2020,Goztepe,Yeni Malatyaspor,1-1,11
2020-06-20 11:30:00,28,Kayserispor,Genclerbirligi,1,2,0,2.75,3.3,2.5,2019-2020,Genclerbirligi,Kayserispor,2-1,11
2020-06-19 14:00:00,28,Ankaragucu,Istanbul Basaksehir,2,1,2,5.5,4.0,1.57,2019-2020,Istanbul Basaksehir,Ankaragucu,2-1,11
2020-06-15 14:00:00,27,Sivasspor,Denizlispor,1,1,0,1.44,4.33,7.0,2019-2020,Denizlispor,Sivasspor,0-2,10
2020-06-14 14:00:00,27,Gazisehir Gaziantep,Ankaragucu,0,1,1,1.9,3.6,3.75,2019-2020,Ankaragucu,Gazisehir Gaziantep,1-2,10
2020-06-14 14:00:00,27,Caykur Rizespor,Galatasaray,1,2,0,4.5,3.75,1.72,2019-2020,Galatasaray,Caykur Rizespor,2-0,10
2020-06-14 11:30:00,27,Genclerbirligi,Konyaspor,1,2,1,2.4,3.3,2.87,2019-2020,Konyaspor,Genclerbirligi,1-1,10
2020-06-13 14:00:00,27,Yeni Malatyaspor,Kasimpasa,2,1,2,2.1,3.5,3.3,2019-2020,Kasimpasa,Yeni Malatyaspor,2-2,10
2020-06-13 14:00:00,27,Besiktas JK,Antalyaspor,2,1,2,1.4,4.75,7.0,2019-2020,Antalyaspor,Besiktas JK,1-2,10
2020-06-13 11:30:00,27,Istanbul Basaksehir,Alanyaspor,1,2,0,1.9,3.6,3.75,2019-2020,Alanyaspor,Istanbul Basaksehir,0-0,10
2020-06-12 14:00:00,27,Fenerbahce,Kayserispor,1,2,1,1.25,6.0,10.0,2019-2020,Kayserispor,Fenerbahce,1-0,10
2020-06-12 14:00:00,27,Goztepe,Trabzonspor,2,1,3,3.3,3.5,2.1,2019-2020,Trabzonspor,Goztepe,0-1,10
2020-03-16 13:00:00,26,Antalyaspor,Sivasspor,1,1,0,3.25,3.5,2.1,2019-2020,Sivasspor,Antalyaspor,2-1,9
2020-03-15 11:59:00,26,Galatasaray,Besiktas JK,0,0,0,1.9,3.5,3.9,2019-2020,Besiktas JK,Galatasaray,1-0,9
2020-03-15 09:00:00,26,Trabzonspor,Istanbul Basaksehir,0,1,1,2.3,3.4,3.0,2019-2020,Istanbul Basaksehir,Trabzonspor,2-2,9
2020-03-15 06:30:00,26,Kayserispor,Yeni Malatyaspor,1,2,1,2.8,3.3,2.45,2019-2020,Yeni Malatyaspor,Kayserispor,4-0,9
2020-03-14 13:00:00,26,Konyaspor,Fenerbahce,1,1,0,3.4,3.2,2.2,2019-2020,Fenerbahce,Konyaspor,5-1,9
2020-03-14 10:00:00,26,Alanyaspor,Gazisehir Gaziantep,1,1,0,1.53,4.0,6.0,2019-2020,Gazisehir Gaziantep,Alanyaspor,1-1,9
2020-03-14 07:00:00,26,Denizlispor,Genclerbirligi,1,1,0,2.37,3.3,2.9,2019-2020,Genclerbirligi,Denizlispor,0-2,9
2020-03-13 13:00:00,26,Kasimpasa,Goztepe,1,2,0,2.7,3.3,2.55,2019-2020,Goztepe,Kasimpasa,1-4,9
2020-03-13 13:00:00,26,Ankaragucu,Caykur Rizespor,1,2,1,2.75,3.2,2.55,2019-2020,Caykur Rizespor,Ankaragucu,2-0,9
2020-03-09 13:00:00,25,Genclerbirligi,Antalyaspor,0,1,1,2.05,3.3,3.6,2019-2020,Antalyaspor,Genclerbirligi,0-6,8
