Date,MD,Home,Away,FTR,HomeG,AwayG,HmOd,DrOd,AwOd,Season,hHome,hAway,hScre,hRnd
2020-05-24 09:30:00,27,Mainz 05,RB Leipzig,2,0,5,6.0,4.33,1.5,2019-2020,RB Leipzig,FSV Mainz 05,8-0,10
2020-05-24 07:30:00,27,Schalke 04,Augsburg,2,0,3,2.0,3.3,3.8,2019-2020,Augsburg,Schalke 04,2-3,10
2020-05-23 12:30:00,27,Bayern Munchen,Eintracht Frankfurt,1,5,2,1.18,7.0,13.0,2019-2020,Eintracht Frankfurt,Bayern Munchen,5-1,10
2020-05-23 09:30:00,27,Borussia M'gladbach,Bayer Leverkusen,2,1,3,2.4,3.5,2.75,2019-2020,Bayer Leverkusen,Borussia Monchengladbach,1-2,10
2020-05-23 09:30:00,27,Freiburg,Werder Bremen,2,0,1,2.25,3.6,2.9,2019-2020,Werder Bremen,SC Freiburg,2-2,10
2020-05-23 09:30:00,27,SC Paderborn 07,Hoffenheim,0,1,1,3.5,3.8,1.95,2019-2020,TSG Hoffenheim,SC Paderborn 07,3-0,10
2020-05-23 09:30:00,27,Wolfsburg,Borussia Dortmund,2,0,2,3.75,3.7,1.9,2019-2020,Borussia Dortmund,VfL Wolfsburg,3-0,10
2020-05-22 14:30:00,27,Hertha Berlin,Union Berlin,1,4,0,2.3,3.3,3.1,2019-2020,Union Berlin,Hertha Berlin,1-0,10
2020-05-18 14:30:00,26,Werder Bremen,Bayer Leverkusen,2,1,4,4.0,3.75,1.83,2019-2020,Bayer Leverkusen,Werder Bremen,2-2,9
2020-05-17 11:59:00,26,Union Berlin,Bayern Munchen,2,0,2,10.0,6.0,1.25,2019-2020,Bayern Munchen,Union Berlin,2-1,9
2020-05-17 09:30:00,26,FC Cologne,Mainz 05,0,2,2,2.0,3.4,3.75,2019-2020,FSV Mainz 05,FC Koln,3-1,9
2020-05-16 12:30:00,26,Eintracht Frankfurt,Borussia M'gladbach,2,1,3,3.0,3.4,2.3,2019-2020,Borussia Monchengladbach,Eintracht Frankfurt,4-2,9
2020-05-16 09:30:00,26,Augsburg,Wolfsburg,2,1,2,3.0,3.5,2.25,2019-2020,VfL Wolfsburg,Augsburg,0-0,9
2020-05-16 09:30:00,26,Borussia Dortmund,Schalke 04,1,4,0,1.44,4.5,6.5,2019-2020,Schalke 04,Borussia Dortmund,0-0,9
2020-05-16 09:30:00,26,Fortuna Dusseldorf,SC Paderborn 07,0,0,0,2.25,3.5,3.0,2019-2020,SC Paderborn 07,Fortuna Dusseldorf,2-0,9
2020-05-16 09:30:00,26,Hoffenheim,Hertha Berlin,2,0,3,2.2,3.4,3.2,2019-2020,Hertha Berlin,TSG Hoffenheim,2-3,9
2020-05-16 09:30:00,26,RB Leipzig,Freiburg,0,1,1,1.36,4.75,8.0,2019-2020,SC Freiburg,RB Leipzig,2-1,9
2020-03-08 13:00:00,25,Mainz 05,Fortuna Dusseldorf,0,1,1,2.0,3.6,3.5,2019-2020,Fortuna Dusseldorf,FSV Mainz 05,1-0,8
2020-03-08 10:30:00,25,Bayern Munchen,Augsburg,1,2,0,1.08,11.0,21.0,2019-2020,Augsburg,Bayern Munchen,2-2,8
2020-03-07 13:30:00,25,Borussia M'gladbach,Borussia Dortmund,2,1,2,3.1,4.0,2.05,2019-2020,Borussia Dortmund,Borussia Monchengladbach,1-0,8
2020-03-07 10:30:00,25,Bayer Leverkusen,Eintracht Frankfurt,1,4,0,1.75,4.0,4.2,2019-2020,Eintracht Frankfurt,Bayer Leverkusen,3-0,8
2020-03-07 10:30:00,25,Freiburg,Union Berlin,1,3,1,2.3,3.4,3.0,2019-2020,Union Berlin,SC Freiburg,2-0,8
2020-03-07 10:30:00,25,Hertha Berlin,Werder Bremen,0,2,2,2.15,3.5,3.2,2019-2020,Werder Bremen,Hertha Berlin,1-1,8
2020-03-07 10:30:00,25,Schalke 04,Hoffenheim,0,1,1,2.1,3.6,3.25,2019-2020,TSG Hoffenheim,Schalke 04,2-0,8
2020-03-07 10:30:00,25,Wolfsburg,RB Leipzig,0,0,0,3.8,3.8,1.85,2019-2020,RB Leipzig,VfL Wolfsburg,1-1,8
2020-03-06 15:00:00,25,SC Paderborn 07,FC Cologne,2,1,2,2.9,3.5,2.3,2019-2020,FC Koln,SC Paderborn 07,3-0,8
2020-06-03 14:30:00,24,Werder Bremen,Eintracht Frankfurt,2,0,3,2.62,3.3,2.6,2019-2020,Eintracht Frankfurt,Werder Bremen,2-2,7
2020-03-01 10:30:00,24,RB Leipzig,Bayer Leverkusen,0,1,1,1.57,4.5,5.0,2019-2020,Bayer Leverkusen,RB Leipzig,1-1,7
2020-03-01 08:30:00,24,Union Berlin,Wolfsburg,0,2,2,2.6,3.25,2.7,2019-2020,VfL Wolfsburg,Union Berlin,1-0,7
2020-02-29 13:30:00,24,FC Cologne,Schalke 04,1,3,0,2.45,3.4,2.75,2019-2020,Schalke 04,FC Koln,1-1,7
2020-02-29 10:30:00,24,Augsburg,Borussia M'gladbach,2,2,3,3.4,3.75,2.0,2019-2020,Borussia Monchengladbach,Augsburg,5-1,7
2020-02-29 10:30:00,24,Borussia Dortmund,Freiburg,1,1,0,1.22,6.0,13.0,2019-2020,SC Freiburg,Borussia Dortmund,2-2,7
2020-02-29 10:30:00,24,Hoffenheim,Bayern Munchen,2,0,6,9.0,6.5,1.25,2019-2020,Bayern Munchen,TSG Hoffenheim,1-2,7
2020-02-29 10:30:00,24,Mainz 05,SC Paderborn 07,1,2,0,1.75,3.75,4.5,2019-2020,SC Paderborn 07,FSV Mainz 05,1-2,7
2020-02-28 15:30:00,24,Fortuna Dusseldorf,Hertha Berlin,0,3,3,2.7,3.3,2.55,2019-2020,Hertha Berlin,Fortuna Dusseldorf,3-1,7
2020-02-24 15:30:00,23,Eintracht Frankfurt,Union Berlin,2,1,2,1.8,3.6,4.33,2019-2020,Union Berlin,Eintracht Frankfurt,1-2,6
2020-02-23 13:00:00,23,Wolfsburg,Mainz 05,1,4,0,1.66,3.8,5.0,2019-2020,FSV Mainz 05,VfL Wolfsburg,0-1,6
2020-02-23 10:30:00,23,Bayer Leverkusen,Augsburg,1,2,0,1.44,4.5,6.5,2019-2020,Augsburg,Bayer Leverkusen,0-3,6
2020-02-22 13:30:00,23,Schalke 04,RB Leipzig,2,0,5,4.0,3.75,1.83,2019-2020,RB Leipzig,Schalke 04,1-3,6
2020-02-22 10:30:00,23,Borussia M'gladbach,Hoffenheim,0,1,1,1.72,3.8,4.5,2019-2020,TSG Hoffenheim,Borussia Monchengladbach,0-3,6
2020-02-22 10:30:00,23,Freiburg,Fortuna Dusseldorf,2,0,2,2.1,3.5,3.25,2019-2020,Fortuna Dusseldorf,SC Freiburg,1-2,6
2020-02-22 10:30:00,23,Hertha Berlin,FC Cologne,2,0,5,2.37,3.4,2.87,2019-2020,FC Koln,Hertha Berlin,0-4,6
2020-02-22 10:30:00,23,Werder Bremen,Borussia Dortmund,2,0,2,5.5,5.0,1.44,2019-2020,Borussia Dortmund,Werder Bremen,2-2,6
2020-02-21 15:30:00,23,Bayern Munchen,SC Paderborn 07,1,3,2,1.05,13.0,26.0,2019-2020,SC Paderborn 07,Bayern Munchen,2-3,6
2020-02-16 13:00:00,22,Mainz 05,Schalke 04,0,0,0,3.25,3.5,2.15,2019-2020,Schalke 04,FSV Mainz 05,2-1,5
2020-02-16 10:30:00,22,FC Cologne,Bayern Munchen,2,1,4,11.0,7.0,1.2,2019-2020,Bayern Munchen,FC Koln,4-0,5
